Time (sec),RPM,Air Temp (F),Coolant Temp (F),TPS (%),MAP (psi),Battery Volt (V),Fuel Open Time (ms),Fuel Duty Cycle (%),Fuel Angle (deg),Digital Input #1,Digital Input #2,Digital Input #3,Digital Input #4,Digital Input #5,Digital Input #6,Digital Input #7,Digital Input #8, Oil PSI,Fuel PSI,Digital Output #1,Digital Output #2,Digital Output #3,Digital Output #4,Digital Output #5,Digital Output #6,Digital Output #7,Digital Output #8,Digital Output #9,Digital Output #10,Injector Over Current #1,Injector Over Current #2,Injector Over Current #3,Injector Over Current #4,Injector Over Current #5,Injector Over Current #6,Injector Over Current #7,Injector Over Current #8,Coil Over Current #1,Coil Over Current #2,Coil Over Current #3,Coil Over Current #4,Coil Over Current #5,Coil Over Current #6,Coil Over Current #7,Coil Over Current #8,System Temperature (F),Sensor Error,Open Time Clip,Charge Time Clip,Non Driven Wheel Speed #1 (MPH),Non Driven Wheel Speed #2 (MPH),Avg Non Driven Wheel Speed (MPH),Measured AFR #1,Measured AFR #2,Target AFR,Measured #1-Target (AFR),Measured #2-Target (AFR),Lambda/AFR Status,Lambda/AFR STF #1 (%),Lambda/AFR STF #2 (%),Lambda/AFR LTF (%),Fuel Status,Ignition Status,
97.351,9189,95.2,199.6,28.9,8.76,13.10,3.09,23.6,530.0,0,1,0,0,0,0,0,0,37.77,38.13,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,29.0,32.0,32.0,13.74,16.18,12.79,0.96,3.40,32768,100.0,100.0,93.0,0,0,
97.362,9225,95.2,199.6,29.0,8.78,13.10,3.22,24.7,530.0,0,1,0,0,0,0,0,0,37.45,38.44,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,28.6,32.1,32.1,13.73,16.35,12.79,0.94,3.56,32768,100.0,100.0,93.9,0,0,
97.372,9236,95.2,199.6,29.1,8.82,13.10,3.24,24.9,530.0,1,0,0,0,0,0,0,0,39.90,35.38,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,29.0,31.5,31.5,13.80,16.33,12.79,1.01,3.54,32768,100.0,100.0,94.2,0,0,
97.383,9249,95.2,199.6,29.1,8.77,13.10,3.31,25.5,530.0,0,1,0,0,0,0,0,0,38.13,37.56,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,29.3,31.2,31.2,13.83,16.46,12.79,1.04,3.68,32768,100.0,100.0,94.6,0,0,
97.395,9230,95.2,199.6,29.2,8.98,13.10,3.25,25.0,530.0,1,1,0,0,0,0,0,0,37.82,40.00,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,29.3,30.4,30.4,13.82,16.64,12.79,1.03,3.85,32768,100.0,100.0,94.3,0,0,
97.401,9219,95.2,199.6,29.2,8.79,13.10,3.47,26.7,530.0,1,1,0,0,0,0,0,0,40.17,36.69,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,29.2,31.8,31.8,13.94,16.76,12.79,1.15,3.97,32768,100.0,100.0,95.4,0,0,
97.413,9209,95.2,199.6,28.6,8.81,13.10,3.25,25.0,530.0,0,0,0,0,0,0,0,0,37.57,35.44,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,30.8,31.0,31.0,13.97,16.60,12.79,1.18,3.81,32770,100.0,100.0,94.2,0,0,
97.423,9209,95.2,199.6,26.6,8.82,13.10,3.28,25.2,530.0,1,1,0,0,0,0,0,0,38.50,38.88,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,30.9,31.4,31.4,13.92,16.57,12.79,1.13,3.78,32770,100.0,100.0,94.3,0,0,
97.433,9204,95.2,199.6,23.9,8.52,13.10,3.29,25.3,530.0,0,1,0,0,0,0,0,0,37.30,37.81,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,30.9,31.2,31.2,13.80,16.36,12.79,1.01,3.57,32770,100.0,100.0,94.4,0,0,
97.441,9198,95.2,199.6,21.0,8.42,13.10,2.95,22.6,530.0,1,1,0,0,0,0,0,0,37.32,34.69,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,30.8,32.0,32.0,13.70,16.29,12.79,0.91,3.50,32770,100.0,100.0,92.3,0,0,
97.452,9181,95.2,199.6,17.9,8.14,13.10,2.79,21.4,530.0,0,0,0,0,0,0,0,0,37.88,35.69,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,31.3,31.2,31.3,13.51,16.21,13.10,0.41,3.12,32770,100.0,100.0,90.1,0,0,
97.462,9161,95.2,199.6,15.2,7.71,13.10,2.38,18.2,530.0,1,1,0,0,0,0,0,0,36.67,38.19,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,30.8,31.5,31.5,13.24,15.80,14.17,-0.93,1.63,32770,100.0,100.0,83.3,0,0,
97.473,9103,95.2,199.6,13.4,7.54,13.10,2.07,15.7,530.0,0,1,0,0,0,0,0,0,39.30,36.75,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,30.7,31.5,31.5,13.11,15.26,14.70,-1.59,0.56,32770,100.0,100.0,87.2,0,0,
97.480,9072,95.2,199.6,12.9,7.25,13.10,1.99,15.1,530.0,0,1,0,0,0,0,0,0,37.57,35.50,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,30.7,30.1,30.7,12.88,14.89,14.70,-1.82,0.19,32770,100.0,100.0,92.4,0,0,
97.490,9045,95.2,199.6,12.7,6.92,13.10,1.98,15.0,530.0,1,1,0,0,0,0,0,0,36.84,34.25,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,31.2,29.7,31.2,12.66,14.63,14.70,-2.04,-0.07,32768,100.0,100.0,92.4,0,0,
97.502,9000,95.2,199.6,12.6,6.83,13.10,1.97,14.8,530.0,1,1,0,0,0,0,0,0,37.47,35.25,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,32.1,29.2,32.1,12.55,14.45,14.70,-2.15,-0.25,32768,100.0,100.0,89.4,0,0,
97.513,8940,95.2,199.6,12.6,6.64,13.10,1.94,14.5,530.0,0,0,0,0,0,0,0,0,37.42,35.88,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,32.5,30.1,32.5,12.39,14.20,14.70,-2.31,-0.50,32768,100.0,100.0,87.8,0,0,
97.523,8917,95.2,199.6,12.6,6.55,13.10,1.91,14.2,530.0,0,1,0,0,0,0,0,0,36.77,36.19,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,31.8,28.8,31.8,12.25,14.01,14.70,-2.45,-0.69,32768,100.0,100.0,84.5,0,0,
97.535,8865,95.2,199.6,13.2,6.44,13.20,1.89,14.0,530.0,1,0,0,0,0,0,0,0,38.63,36.06,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,32.5,30.1,32.5,12.11,13.80,14.70,-2.59,-0.90,32768,100.0,100.0,83.8,0,0,
97.541,8837,95.2,199.6,13.6,6.37,13.10,1.86,13.7,530.0,1,0,0,0,0,0,0,0,38.65,35.69,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,32.5,29.8,32.5,11.98,13.57,14.70,-2.72,-1.13,32768,100.0,100.0,85.0,0,0,
97.551,8826,95.2,199.6,13.7,6.43,13.10,1.84,13.6,530.0,0,1,0,0,0,0,0,0,39.22,35.69,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,32.3,29.8,32.3,11.92,13.51,14.70,-2.78,-1.19,32768,100.0,100.0,86.9,0,0,
97.563,8830,95.2,199.6,13.8,6.38,13.20,1.85,13.6,530.0,0,1,0,0,0,0,0,0,36.09,36.13,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,31.8,29.6,31.8,11.80,13.38,14.70,-2.90,-1.32,32768,100.0,100.0,86.0,0,0,
97.575,8832,95.2,199.6,13.9,6.42,13.10,1.84,13.5,530.0,1,1,0,0,0,0,0,0,35.67,36.19,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,31.2,29.9,31.2,11.85,13.36,14.70,-2.85,-1.34,32768,100.0,100.0,86.8,0,0,
97.581,8835,95.2,199.6,13.9,6.38,13.20,1.85,13.6,530.0,1,1,0,0,0,0,0,0,35.02,35.88,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,31.5,29.3,31.5,11.91,13.39,14.70,-2.79,-1.31,32768,100.0,100.0,86.1,0,0,
97.591,8833,95.2,199.6,13.9,6.31,13.20,1.84,13.5,530.0,1,0,0,0,0,0,0,0,38.00,35.63,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,32.3,29.3,32.3,11.94,13.39,14.70,-2.76,-1.31,32768,100.0,100.0,86.8,0,0,
97.602,8811,95.2,199.6,14.0,6.42,13.20,1.82,13.4,530.0,0,1,0,0,0,0,0,0,37.47,35.13,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,32.3,28.5,32.3,12.17,13.63,14.70,-2.53,-1.07,32768,100.0,100.0,88.3,0,0,
97.613,8804,95.2,199.6,14.0,6.35,13.20,1.85,13.6,530.0,0,1,0,0,0,0,0,0,36.80,35.31,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,32.9,28.4,32.9,12.29,13.88,14.70,-2.41,-0.82,32768,100.0,100.0,86.6,0,0,
97.623,8794,95.2,199.6,14.0,6.34,13.20,1.83,13.4,530.0,1,1,0,0,0,0,0,0,36.00,34.94,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,33.1,28.6,33.1,12.44,14.19,14.70,-2.26,-0.51,32768,100.0,100.0,87.9,0,0,
97.635,8795,95.2,199.6,14.0,6.30,13.20,1.83,13.4,530.0,1,1,0,0,0,0,0,0,34.27,34.56,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,33.1,28.1,33.1,12.72,14.52,14.70,-1.98,-0.18,32768,100.0,100.0,88.3,0,0,
